geoid,rural_ruca,rural_fhfa,rural_forhp,rural_rucc,rural_uic,rural_cdc,rural_cbsa_2020,rural_cbsa_2013,rural_far,year,population,race
1001020100,0,0,0,0,0,0,0,0,0,2014,4,american_indian
1001020200,0,0,0,0,0,0,0,0,0,2014,0,american_indian
1001020300,0,0,0,0,0,0,0,0,0,2014,23,american_indian
1001020400,0,0,0,0,0,0,0,0,0,2014,34,american_indian
1001020500,0,0,0,0,0,0,0,0,0,2014,0,american_indian
1001020600,0,0,0,0,0,0,0,0,0,2014,0,american_indian
1001020700,0,0,0,0,0,0,0,0,0,2014,0,american_indian
1001020801,0,1,0,0,0,0,0,0,0,2014,94,american_indian
1001020802,0,1,0,0,0,0,0,0,0,2014,0,american_indian
1001020900,0,1,0,0,0,0,0,0,0,2014,34,american_indian
1001020400,0,0,0,0,0,0,0,0,0,2014,0,asian
1001020500,0,0,0,0,0,0,0,0,0,2014,364,asian
1001020600,0,0,0,0,0,0,0,0,0,2014,0,asian
1001020700,0,0,0,0,0,0,0,0,0,2014,0,asian
1001020801,0,1,0,0,0,0,0,0,0,2014,0,asian
1001020802,0,1,0,0,0,0,0,0,0,2014,0,asian
1001020900,0,1,0,0,0,0,0,0,0,2014,0,asian
1001020900,0,1,0,0,0,0,0,0,0,2014,683,black
1001021000,0,1,0,0,0,0,0,0,0,2014,918,black
1001021100,0,1,0,0,0,0,0,0,0,2014,2034,black
1003010100,1,1,1,0,0,0,0,0,0,2014,801,black
1003010200,1,1,1,0,0,0,0,0,0,2014,385,black
1003010300,0,1,0,0,0,0,0,0,0,2014,1062,black
1003010400,0,1,0,0,0,0,0,0,0,2014,146,black
1003010500,1,1,1,0,0,0,0,0,0,2014,628,black
1003010600,1,1,1,0,0,0,0,0,0,2014,2261,black
1001021000,0,1,0,0,0,0,0,0,0,2014,25,hispanic
1001021100,0,1,0,0,0,0,0,0,0,2014,11,hispanic
1003010100,1,1,1,0,0,0,0,0,0,2014,19,hispanic
1003010200,1,1,1,0,0,0,0,0,0,2014,47,hispanic
1003010300,0,1,0,0,0,0,0,0,0,2014,42,hispanic
1003010400,0,1,0,0,0,0,0,0,0,2014,235,hispanic
1003010500,1,1,1,0,0,0,0,0,0,2014,60,hispanic
1003010600,1,1,1,0,0,0,0,0,0,2014,92,hispanic
1001020400,0,0,0,0,0,0,0,0,0,2014,52,more_than_one_race
1001020500,0,0,0,0,0,0,0,0,0,2014,169,more_than_one_race
1001020600,0,0,0,0,0,0,0,0,0,2014,90,more_than_one_race
1001020700,0,0,0,0,0,0,0,0,0,2014,24,more_than_one_race
1001020801,0,1,0,0,0,0,0,0,0,2014,67,more_than_one_race
1001020802,0,1,0,0,0,0,0,0,0,2014,108,more_than_one_race
1001020900,0,1,0,0,0,0,0,0,0,2014,21,more_than_one_race
1001021000,0,1,0,0,0,0,0,0,0,2014,0,more_than_one_race
1001021100,0,1,0,0,0,0,0,0,0,2014,25,more_than_one_race
1001020500,0,0,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001020600,0,0,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001020700,0,0,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001020801,0,1,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001020802,0,1,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001020900,0,1,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001021000,0,1,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001021100,0,1,0,0,0,0,0,0,0,2014,0,native_hawaiian_pacific_islander
1001020600,0,0,0,0,0,0,0,0,0,2014,2837,white
1001020700,0,0,0,0,0,0,0,0,0,2014,2103,white
1001020801,0,1,0,0,0,0,0,0,0,2014,2550,white
1001020802,0,1,0,0,0,0,0,0,0,2014,9161,white
1001020900,0,1,0,0,0,0,0,0,0,2014,4875,white
1001021000,0,1,0,0,0,0,0,0,0,2014,2236,white
1001021100,0,1,0,0,0,0,0,0,0,2014,1369,white
1003010100,1,1,1,0,0,0,0,0,0,2014,2499,white
1003010200,1,1,1,0,0,0,0,0,0,2014,2402,white
